ENELEXT.ENEL_SCAWEB_LIQUIDACION_INF;1456
ENELEXT.ENEL_TXN_TEMP_CEIS;38
ENELEXT.ENEL_INCEN_TEMP_CEIS;444
ENELEXT.ENEL_E4E_CONTRATOS_TEMP_CEIS;5079
ENELEXT.ENEL_COMP_E4E_CEIS;287
ENELEXT.ENEL_CREDIT_TEMP_ALIADO;35
ENELEXT.ENEL_DEPOSIT_TEMP_ALIADO;7
ENELEXT.ENEL_E4E_DEPOSIT_ALIADO_TEMP;4
ENELEXT.ENEL_E4E_DEPOSIT_ALIADO_TEMP_2;4
ENELEXT.ENEL_SCAWEB_LIQUIDACION_ALIADO;28046
ENELEXT.ENEL_RESUMEN_LIQ_ALICO;135855
ENELEXT.ENEL_ORDER_IMPU_TEMP_CEIS_2;36
ENELEXT.ENEL_TXN_TEMP_CEBP_2;0
ENELEXT.ENEL_TDM2_PTG;14
ENELEXT.ENEL_E4E_FINAL_CAT_TVTA;4629
ENELEXT.ENEL_E4E_NEGATIVOS_CAT_TVTA;32
ENELEXT.ENEL_CRE_RICORRENTE_DIAS;3660189
ENELEXT.ENEL_ECO_INF_TF;0
ENELEXT.ENEL_INFPDS_STP;2688266
ENELEXT.ENEL_FACTOPE_RESUMEN_EE;9318
ENELEXT.ENEL_FACTOPE_TOTAL_EE;1916
ENELEXT.ENEL_FACTPDS_DETALLE;5214856
ENELEXT.ENEL_PER_LIQUIDADOS_CAT_TVTA;0
ENELEXT.ENEL_RAPPELES_CES;684
ENELEXT.ENEL_CONSECUCION_FINAL_OFV;543
ENELEXT.ENEL_CREDIT_FINAL_V_RENTA_FIJA;6398615
ENELEXT.ENEL_REMUN;399392
ENELEXT.ENEL_REGULARIZACION_ALIADOS;34
ENELEXT.ENEL_E4E_NEGATIVOS_CES;192
ENELEXT.ENEL_DEPOSIT_PTG_TEMP;0
ENELEXT.ENEL_LIQSCAWEB_RENOV_AAFF;2791
ENELEXT.ENEL_CUADRELIQ_CCDD_RESELLERS;3297
ENELEXT.ENEL_E4E_FINAL_PTG;1046
ENELEXT.ENEL_INCENT_AGRUPADO;2722447
ENELEXT.ENEL_EQUIPAMIENTO_TEMP_CCDD;493
ENELEXT.ENEL_FACTOPE_DETALLE_EE;0
ENELEXT.ENEL_INCEN_TEMP_CEBP;2727
ENELEXT.ENEL_INCEN_TEMP_CETF;1155
ENELEXT.ENEL_INCEN_TEMP_CETVTA;8415
ENELEXT.ENEL_INFPDS_CREDIT_TEMP;0
ENELEXT.ENEL_OPERACIONES_TEMP_TF;90
ENELEXT.ENEL_OPERACION_DTM;90
ENELEXT.ENEL_ORDER_IMPU_TEMP_CEBP;12
ENELEXT.ENEL_PDS_TEMP_CETVTA;85
ENELEXT.ENEL_E4E_CONTRATOS_TEMP_CETF;5083
ENELEXT.ENEL_PROVEEDORES_TEMP;216
ENELEXT.ENEL_COMMISSION_TEMP_CETF;0
ENELEXT.ENEL_SCAWEB_LIQUIDACION_INF_TF;6
ENELEXT.ENEL_TXN_TEMP_CETF;0
ENELEXT.ENEL_CREDIT_TEMP_CEIS;36
ENELEXT.ENEL_EQUIPAMIENTO_TEMP_CEIS;493
ENELEXT.ENEL_COMMISSION_TEMP_CEIS;0
ENELEXT.ENEL_E4E_NEGATIVOS_TEMP_ALIADO;26
ENELEXT.ENEL_PDS_TEMP_ALIADO;22
ENELEXT.ENEL_PREFACT_PORTADA_ALIADO;757
ENELEXT.ENEL_PERIODOS_LIQ_ALIADOS;2
ENELEXT.ENEL_RAPPELES_ALICO;3250
ENELEXT.ENEL_TXN_TEMP_ONLINE;1536
ENELEXT.ENEL_CTRL_INFORMES;103460
ENELEXT.ENEL_CREDIT_TEMP_CEIS_2;1342
ENELEXT.ENEL_E4E_DEPOSIT_PTG_TEMP;0
ENELEXT.ENEL_E4E_FINAL_CESP;756
ENELEXT.ENEL_E4E_FINAL_CCDD;530
ENELEXT.ENEL_SCAWEB_LIQUIDACION_CCDD;64153
ENELEXT.ENEL_PREFACT_PORTADA_CCDD;0
ENELEXT.ENEL_CUADRELIQ_CCDD;83159
ENELEXT.ODX_CODEMAP_CONFIG;22
ENELEXT.ENEL_FACTOPE_FINAL_EE;1960559
ENELEXT.CS_USUARIOS_ROLES;1944
ENELEXT.ENEL_CAT_TVTA_APORTE;6664
ENELEXT.ENEL_CAT_TVTA_RESUM_PAGO;136251
ENELEXT.ENEL_COMPROBACION_B2B;2755
ENELEXT.ENEL_INFPDS_CREDIT_REVISION;4588
ENELEXT.ENEL_LIQSCAWEB_FINAL_WBE;2630490
ENELEXT.ENEL_LIQUIDACION_CEBP;18957
ENELEXT.ENEL_LIQUIDACION_CETVTA;5897
ENELEXT.ENEL_MEDIDAS_FINAL;0
ENELEXT.ENEL_MEDIDAS_FINAL_OFV;457
ENELEXT.ENEL_FACTOPE_TOTAL;7517
ENELEXT.ENEL_CRE_RICORRENTE_STORES_13M;193
ENELEXT.ENEL_PER_LIQUIDADOS_CES;19
ENELEXT.ENEL_E4E_CCDD_WBE;361
ENELEXT.ENEL_COMP_E4E_CETVTA;336
ENELEXT.ENEL_REGISTROS_CRED_CES;1824
ENELEXT.ENEL_REMUN_CES;20337
ENELEXT.ENEL_TXN_TEMP_OFV;1641545
ENELEXT.ENEL_DETALLE_OCAP;2050555
ENELEXT.ENEL_CCC_ALIADOS;5
ENELEXT.ENEL_CUADRELIQ_CCDD_RAPPEL;27167
ENELEXT.ENEL_LEAD_TEMP_OFV;24853904
ENELEXT.ENEL_NEW_CONSECUCION_FINAL_OFV;495
